Revenue,Gross Profit,Short-term debt,Net Income,Total assets,2019 PRICE VAR [%]
14144000000,6856000000,3388000000,1609000000,78866000000,40.58806776
70848000000,43737000000,1261000000,21053000000,1.27963E+11,30.29551377
30391000000,17891000000,859000000,14135000000,43376000000,64.21373673
1.21615E+11,26154000000,0,-22355000000,3.11072E+11,44.75784026
91247000000,91247000000,37975000000,28147000000,2.35451E+12,44.31598762
2.65595E+11,1.01839E+11,20748000000,59531000000,3.65725E+11,88.74246463
1.1036E+11,72007000000,3998000000,16571000000,2.58848E+11,58.25926291
5770692000,3462086000,3000000,1175893000,8173000000,22.16194316
58472000000,10669000000,1463000000,5327000000,34622000000,3.016788856
14125255102,4790306122,695000000,534030612.2,28195306122,-21.97169153
8391000000,4210000000,184000000,303000000,25775000000,96.53179525
1.60338E+11,14606000000,53493000000,3677000000,2.5654E+11,25.53720404
6475000000,2447000000,136000000,337000000,4556000000,143.5475348
1180446000,381581000,0,-1255911000,2714106000,182.0379971
55838000000,46483000000,0,22112000000,97334000000,51.27506713
84664000000,84664000000,7810000000,22393000000,1.89588E+12,19.21621179
47389000000,16223000000,1388000000,-6000000,4.91984E+11,32.87280262
1.70756E+11,91337000000,10255000000,19370000000,5.31864E+11,40.61821635
72854000000,65286000000,25381000000,18045000000,1.91738E+12,53.48648158
36575000000,14466000000,2607000000,6860000000,88190000000,0.582806355
40107000000,40107000000,30634000000,8748000000,8.53531E+11,30.21096705
6818200000,907200000,0,186000000,4515700000,37.65689613
1.09029E+11,1.09029E+11,32394000000,30709000000,2.62253E+12,44.75109868
39383000000,31323000000,4491000000,3587000000,1.37851E+11,19.15855211
36397000000,15956000000,342000000,1933000000,22536000000,38.24324762
66832000000,32400000000,10423000000,9750000000,1.1831E+11,40.68027275
2274038000,826684000,32127000,43661000,2123817000,-43.37349298
22884213402,22884213402,18598980470,4274204897,3.3648E+11,7.298488877
53647000000,42399000000,8831000000,11153000000,1.59422E+11,-6.046939565
66862483213,9544664689,657732850.9,-360583646.9,30269878003,65.63234031
25934482759,9708045977,2166666667,-636781609.2,45421839080,-34.00213098
3042359000,2077362000,965374000,1205596000,10162572000,11.24609452
20848000000,10733000000,0,12259000000,50124000000,29.44361589
17253000000,7817000000,0,3313000000,17633000000,85.65883117
907208000,602550000,100000000,15457000,2146703000,53.76884061
2.90212E+11,1.01377E+11,17258000000,20840000000,3.46196E+11,4.924793339
22611000000,12367000000,1005000000,-4964000000,32718000000,59.39173175
12232119826,2470183357,960843415.3,308073371.9,6304292764,160.0000105
49330000000,30606000000,5238000000,110000000,1.08784E+11,14.81957008
36986000000,36986000000,0,6921000000,1.88602E+11,32.01876329
22561000000,16014000000,1703000000,4920000000,34986000000,26.64174768
20609000000,17439000000,0,10301000000,69225000000,42.27031236
2636746000,1320601000,0,-11079000,1642142000,-26.68711313
1066000,1066000,0,-27017000,185284000,30.76923694
6178000000,6178000000,0,1866000000,1.39613E+11,40.43990016
5525000000,5525000000,0,1695000000,1.25688E+11,30.51943045
1.22662E+11,27000000000,3560000000,1907000000,37197000000,8.690633021
23995000000,2986000000,0,1656000000,25982000000,-7.406170032
39592785952,22658123715,953646574.9,10139693087,1.13451E+11,55.15728664
6582000000,5165000000,0,1096000000,21321000000,-6.405819277
22127000000,17274000000,2748000000,5455000000,63675000000,6.367174645
1.47049E+11,14095000000,31891000000,8014000000,2.27339E+11,13.37436463
18628000000,5183000000,17000000,2602000000,42216000000,28.96251918
10540000000,7767000000,1025000000,360000000,21984000000,19.98524215
7500000000,4983000000,0,1813000000,17890000000,27.35980696
3298177000,1303700000,0,-38453000,3281023000,9.370630313
25067279000,4295408000,57870000,2360767000,17920588000,10.98502829
3862000000,1759000000,0,537000000,5797000000,-34.94623501
68619000000,22434000000,1431000000,3447000000,35291000000,32.36335184
